"";"time_sec";"team_size";"item_weight_kg";"item_volume_cc";"palette_quantity";"palette_number";"item_time_sec"
"1";100;3;4,35;41538;24;1;4,16666666666667
"2";211;3;4,35;41538;24;2;8,79166666666667
"3";315;3;4,35;41538;24;3;13,125
"4";144;4;4,35;41538;24;4;6
"5";156;4;4,35;41538;24;5;6,5
"6";141;4;4,35;41538;24;6;5,875
"7";133;4;4,35;41538;24;7;5,54166666666667
"8";145;4;4,35;41538;24;8;6,04166666666667
"9";135;4;4,35;41538;24;9;5,625
"10";180;4;4,35;41538;24;10;7,5
"11";138;4;4,35;41538;24;11;5,75
"12";167;4;4,35;41538;24;12;6,95833333333333
"13";148;5;4,35;41538;24;13;6,16666666666667
"14";178;5;4,35;41538;24;14;7,41666666666667
"15";124;5;4,35;41538;24;15;5,16666666666667
"16";147;5;4,35;41538;24;16;6,125
"17";133;5;4,35;41538;24;17;5,54166666666667
"18";209;5;4,35;41538;24;18;8,70833333333333
"19";157;5;4,35;41538;24;19;6,54166666666667
"20";137;5;4,35;41538;24;20;5,70833333333333
"21";144;5;4,35;41538;24;21;6
"22";159;5;4,35;41538;24;22;6,625
"23";138;5;4,35;41538;24;23;5,75
"24";158;5;4,35;41538;24;24;6,58333333333333
"25";171;5;4,35;41538;24;25;7,125
"26";156;5;4,35;41538;24;26;6,5
"27";156;5;4,35;41538;24;27;6,5
"28";147;5;4,35;41538;24;28;6,125
"29";227;5;4,35;41538;24;29;9,45833333333333
"30";155;5;4,35;41538;24;30;6,45833333333333
"31";142;5;4,35;41538;24;31;5,91666666666667
"32";204;5;4,35;41538;24;32;8,5
"33";138;5;4,35;41538;24;33;5,75
"34";122;5;4,35;41538;24;34;5,08333333333333
"35";143;5;4,35;41538;24;35;5,95833333333333
"36";151;5;4,35;41538;24;36;6,29166666666667
"37";171;5;4,35;41538;24;37;7,125
"38";167;5;4,35;41538;24;38;6,95833333333333
"39";155;5;4,35;41538;24;39;6,45833333333333
"40";150;5;4,35;41538;24;40;6,25
"41";178;5;4,35;41538;24;41;7,41666666666667
"42";145;5;4,35;41538;24;43;6,04166666666667
"43";319;5;4,35;41538;24;44;13,2916666666667
"44";144;4;4,52;43987,5;30;1;4,8
"45";201;5;4,52;43987,5;30;2;6,7
"46";121;5;4,52;43987,5;30;3;4,03333333333333
"47";99;5;4,52;43987,5;30;4;3,3
"48";101;5;4,52;43987,5;30;5;3,36666666666667
"49";94;5;4,52;43987,5;30;6;3,13333333333333
"50";110;5;4,52;43987,5;30;7;3,66666666666667
"51";99;5;4,52;43987,5;30;9;3,3
"52";101;5;4,52;43987,5;30;10;3,36666666666667
"53";190;5;4,52;43987,5;30;11;6,33333333333333
"54";113;5;4,52;43987,5;30;12;3,76666666666667
"55";117;5;4,52;43987,5;30;13;3,9
"56";580;5;4,52;43987,5;30;14;19,3333333333333
"57";135;5;4,52;43987,5;30;15;4,5
"58";118;5;4,52;43987,5;30;16;3,93333333333333
"59";100;5;4,52;43987,5;30;17;3,33333333333333
"60";142;5;4,52;43987,5;30;18;4,73333333333333
"61";113;5;4,52;43987,5;30;19;3,76666666666667
"62";106;5;4,52;43987,5;30;20;3,53333333333333
"63";106;5;4,52;43987,5;30;21;3,53333333333333
"64";90;5;4,52;43987,5;30;22;3
"65";102;5;4,52;43987,5;30;23;3,4
"66";101;5;4,52;43987,5;30;24;3,36666666666667
"67";107;5;4,52;43987,5;30;25;3,56666666666667
"68";104;5;4,52;43987,5;30;26;3,46666666666667
"69";104;5;4,52;43987,5;30;27;3,46666666666667
"70";99;5;4,52;43987,5;30;28;3,3
"71";115;5;4,52;43987,5;30;29;3,83333333333333
"72";342;5;4,52;43987,5;30;30;11,4
"73";92;5;4,52;43987,5;30;31;3,06666666666667
"74";90;5;4,52;43987,5;30;32;3
"75";98;5;4,52;43987,5;30;33;3,26666666666667
"76";107;5;4,52;43987,5;30;34;3,56666666666667
"77";93;5;4,52;43987,5;30;35;3,1
"78";287;5;3,04;30723;50;37;5,74
"79";217;5;3,04;30723;50;38;4,34
"80";192;5;3,04;30723;50;39;3,84
"81";215;5;3,04;30723;50;40;4,3
"82";216;5;3,04;30723;50;41;4,32
"83";198;5;3,04;30723;50;42;3,96
"84";195;5;3,04;30723;50;43;3,9
"85";231;5;3,04;30723;50;44;4,62
"86";183;5;3,04;30723;50;45;3,66
"87";209;5;3,04;30723;50;46;4,18
"88";125;6;8,84;85800;14;1;8,92857142857143
"89";228;4;8,84;85800;14;2;16,2857142857143
"90";92;4;8,84;85800;14;3;6,57142857142857
"91";110;5;8,84;85800;14;4;7,85714285714286
"92";69;5;8,84;85800;14;5;4,92857142857143
"93";102;6;8,84;85800;14;6;7,28571428571429
"94";122;6;8,84;85800;14;7;8,71428571428571
"95";102;6;8,84;85800;14;8;7,28571428571429
"96";85;6;8,84;85800;14;9;6,07142857142857
"97";102;6;8,84;85800;14;10;7,28571428571429
"98";109;6;8,84;85800;14;11;7,78571428571429
"99";88;6;8,84;85800;14;12;6,28571428571429
"100";73;6;8,84;85800;14;13;5,21428571428571
"101";228;6;8,84;85800;14;14;16,2857142857143
"102";110;6;8,84;85800;14;15;7,85714285714286
"103";85;6;8,84;85800;14;16;6,07142857142857
"104";75;6;8,84;85800;14;17;5,35714285714286
"105";155;6;8,84;85800;14;18;11,0714285714286
"106";57;6;8,84;85800;14;19;4,07142857142857
"107";148;6;8,84;85800;14;20;10,5714285714286
"108";125;6;8,84;85800;14;21;8,92857142857143
"109";195;6;8,84;85800;14;22;13,9285714285714
"110";155;6;8,84;85800;14;23;11,0714285714286
"111";150;6;8,84;85800;14;25;10,7142857142857
"112";95;6;8,84;85800;14;26;6,78571428571429
"113";113;6;8,84;85800;14;27;8,07142857142857
"114";427;6;8,84;85800;14;28;30,5
"115";310;6;8,84;85800;14;29;22,1428571428571
"116";95;6;8,84;85800;14;30;6,78571428571429
"117";160;6;8,84;85800;14;31;11,4285714285714
"118";126;6;8,84;85800;14;32;9
"119";58;6;8,84;85800;14;33;4,14285714285714
"120";128;6;8,84;85800;14;34;9,14285714285714
"121";123;6;8,84;85800;14;36;8,78571428571429
"122";69;6;8,84;85800;14;37;4,92857142857143
"123";66;6;8,84;85800;14;38;4,71428571428571
"124";122;6;8,84;85800;14;39;8,71428571428571
"125";65;6;8,84;85800;14;40;4,64285714285714
"126";112;6;8,84;85800;14;41;8
"127";117;6;8,84;85800;14;43;8,35714285714286
"128";44;6;8,84;85800;14;44;3,14285714285714
"129";56;6;8,84;85800;14;45;4
"130";66;6;8,84;85800;14;46;4,71428571428571
"131";96;6;8,84;85800;14;47;6,85714285714286
"132";111;6;8,84;85800;14;49;7,92857142857143
"133";52;6;8,84;85800;14;50;3,71428571428571
"134";86;6;8,84;85800;14;51;6,14285714285714
"135";111;6;8,84;85800;14;52;7,92857142857143
"136";146;6;8,84;85800;14;54;10,4285714285714
"137";65;6;8,84;85800;14;55;4,64285714285714
"138";90;6;8,84;85800;14;56;6,42857142857143
"139";82;6;8,84;85800;14;57;5,85714285714286
"140";55;6;8,84;85800;14;59;3,92857142857143
"141";90;5;8,14;64275,75;24;1;3,75
"142";110;5;8,14;64275,75;24;2;4,58333333333333
"143";111;5;8,14;64275,75;24;3;4,625
"144";94;5;8,14;64275,75;24;4;3,91666666666667
"145";125;5;8,14;64275,75;24;5;5,20833333333333
"146";115;5;8,14;64275,75;24;6;4,79166666666667
"147";82;5;8,14;64275,75;24;7;3,41666666666667
"148";137;5;8,14;64275,75;24;8;5,70833333333333
"149";142;5;8,14;64275,75;24;10;5,91666666666667
"150";154;5;8,14;64275,75;24;12;6,41666666666667
"151";140;5;8,14;64275,75;24;14;5,83333333333333
"152";189;5;8,14;64275,75;24;16;7,875
"153";133;5;8,14;64275,75;24;17;5,54166666666667
"154";382;5;8,14;64275,75;24;18;15,9166666666667
"155";125;5;8,14;64275,75;24;19;5,20833333333333
"156";268;5;8,14;64275,75;24;21;11,1666666666667
"157";253;5;8,14;64275,75;24;23;10,5416666666667
"158";223;5;8,14;64275,75;24;25;9,29166666666667
"159";121;5;8,14;64275,75;24;27;5,04166666666667
"160";225;5;8,14;64275,75;24;28;9,375
"161";172;5;8,14;64275,75;24;29;7,16666666666667
"162";112;5;8,14;64275,75;24;30;4,66666666666667
"163";139;5;8,14;64275,75;24;31;5,79166666666667
"164";78;5;8,14;64275,75;24;32;3,25
"165";130;5;8,14;64275,75;24;33;5,41666666666667
"166";177;5;8,14;64275,75;24;35;7,375
"167";183;5;8,14;64275,75;24;36;7,625
"168";244;5;8,14;64275,75;24;38;10,1666666666667
"169";163;5;8,14;64275,75;24;40;6,79166666666667
"170";255;5;8,14;64275,75;24;42;10,625
"171";180;5;8,14;64275,75;24;1;7,5
"172";145;5;8,14;64275,75;24;2;6,04166666666667
"173";125;5;8,14;64275,75;24;3;5,20833333333333
"174";210;5;8,14;64275,75;24;4;8,75
"175";237;5;8,14;64275,75;24;6;9,875
"176";147;5;8,14;64275,75;24;8;6,125
